,score1,score2
0,61.344265,0.9506913
1,67.077965,0.89927965
2,53.05701,0.9045657
3,68.6846,0.9474921
4,57.07175,0.9352012
5,75.79628,0.94063437
6,65.67498,0.8521214
7,38.53703,0.87259334
8,53.136173,0.9133092
9,63.275375,0.9742298
10,70.12928,0.95700324
11,67.666855,0.9344817
12,64.61947,0.9842822
13,64.97685,0.99345964
14,63.824867,0.98415923
15,64.105286,0.821328
16,64.58484,0.88745
17,66.08323,0.9255606
18,56.02099,0.9006162
19,59.754745,0.9461887
20,46.44137,0.84310883
21,73.29069,0.93279874
22,57.823013,0.88220906
23,64.92116,0.781618
24,40.072582,0.80513763
25,58.430683,0.93804145
26,67.77376,0.9715952
27,59.20294,0.8811294
28,55.970284,0.93163353
29,67.57414,0.9631202
30,68.974625,0.86777145
31,68.41606,1.0
32,53.10428,0.9179144
33,70.16604,0.9447474
34,70.92497,1.0
35,49.133827,0.9221046
36,61.518574,0.9885504
37,63.85535,0.8228093
38,36.075306,0.77551514
39,65.66433,0.9519802
40,38.34051,0.8050571
41,65.77078,0.9306689
42,67.991936,1.0
43,76.343216,0.9755952
44,41.32797,0.85237724
45,54.342106,0.8765748
46,69.220345,1.0
47,68.66795,0.96245086
48,65.29707,0.9333587
49,71.32406,1.0
50,39.77123,0.79312193
51,27.384998,0.7329056
52,69.52785,0.88536143
53,60.976803,0.91184175
54,73.289955,1.0
55,73.42114,1.0
56,68.3283,1.0
57,64.646385,0.89187205
58,60.624084,0.8399322
59,59.907513,1.0
60,64.121445,0.93321186
61,61.669323,0.90630585
62,75.28232,1.0
63,39.864716,0.9453824
64,28.794817,0.88045007
65,38.72441,0.90447384
66,43.28353,0.9664237
67,44.316826,0.9361064
68,38.114468,0.94245994
69,43.0221,0.84110254
70,30.380388,0.84185624
71,40.040966,0.9410819
72,30.215347,0.8914661
73,36.408886,0.75076395
74,43.845768,0.8186007
75,45.48261,0.9489533
76,46.947273,0.91159695
77,39.62931,0.89277714
78,65.09535,0.8946509
79,41.959465,0.972504
80,39.406193,0.87943405
81,54.689545,0.94058347
82,45.102894,0.9809754
83,40.003468,0.9275006
84,41.189526,0.8935878
85,44.692604,0.89380366
86,54.51005,0.7818773
87,54.895123,0.9179127
88,53.057503,0.94312304
89,64.5829,0.95662975
90,49.304386,0.91677207
91,61.25726,0.91730714
92,49.020336,0.9295604
93,37.333485,0.91318107
94,48.000565,0.8825675
95,54.601685,0.9538963
96,63.329624,0.8464342
97,32.49832,0.8168092
98,47.203384,0.8603604
99,45.92672,0.9600753
100,49.776608,0.8917904
101,50.583652,0.9402474
102,39.774036,0.8398382
103,45.80209,0.86886317
104,40.800354,0.8667504
105,59.59959,0.9777992
106,56.819153,0.9417819
107,43.776325,0.78568727
108,31.052887,0.7692147
109,70.24896,0.95223117
110,55.235462,0.8992687
111,47.759262,0.9131593
112,39.060734,0.74170727
113,37.999496,0.9457789
114,51.099327,0.88692737
115,42.18812,0.79239297
116,55.730232,0.9816058
117,59.95173,0.9427551
118,67.16917,0.92419285
119,64.29085,0.91297716
120,66.643745,0.9753345
121,59.425304,0.96656483
122,49.50613,0.9286276
123,61.136173,0.9581383
124,48.732906,0.8615685
125,47.619488,0.9612132
126,51.01637,0.93138224
127,38.484245,0.6890504
128,67.78539,0.93942255
129,58.13324,0.9583345
130,63.439434,0.9682983
131,61.440063,0.9625637
132,45.17286,0.87488616
133,55.560333,0.95296216
134,47.34169,0.88136786
135,56.94593,0.9697434
136,53.173676,0.7481609
137,59.28388,0.96917796
138,52.109737,0.81684905
139,48.304794,0.84782755
140,58.652336,0.96246976
141,58.93561,0.82223
142,55.601738,0.9038726
143,60.905304,0.98004407
144,36.49681,0.6672926
145,57.130596,0.8948351
146,61.612705,0.92900056
147,55.619358,0.9566479
148,48.220627,0.814263
149,57.621765,0.9681448
150,48.232742,0.88050157
151,59.575447,0.9257944
152,59.175877,0.87241286
153,42.903736,0.83447796
154,58.509716,0.95246375
155,58.212654,0.93493706
156,65.750496,0.9587594
157,39.130943,0.932746
158,44.736794,0.90639293
159,52.85959,0.934315
160,52.90426,0.9737791
161,51.272137,0.82689804
162,67.77453,0.92286706
163,39.382427,0.8496682
164,59.93733,0.9398753
165,53.82243,0.9508714
166,48.119884,0.93018866
167,53.977146,0.88216895
168,47.97698,0.93940455
169,49.74598,0.93714803
170,54.31896,0.94006836
171,64.858215,0.89233863
172,40.57709,0.83863163
173,54.815613,0.91688746
174,56.24491,0.9634141
175,53.953373,0.8998654
176,63.082706,0.99467564
177,63.39268,0.9479931
178,42.390476,0.9795065
179,52.06182,0.8481632
180,53.424637,0.8932159
181,37.704895,0.79503065
182,42.217945,0.6716836
183,47.88591,0.86930513
184,55.246582,0.9007039
185,59.49135,1.0
186,56.838093,0.9129625
187,42.556175,0.88959104
188,49.746803,0.87620866
189,53.84302,0.91458285
190,53.250816,0.85798365
191,46.466408,0.8792416
192,46.4362,0.8790091
193,49.527256,0.8815494
194,54.493286,0.9230558
195,37.812214,0.8991502
196,44.31683,0.9376555
197,51.51517,0.93376845
198,55.38079,0.89259607
199,36.119816,0.9209215
200,45.90725,0.8249869
201,35.699394,0.90299183
202,49.793957,0.93795556
203,44.28178,0.8650091
204,59.21928,0.9435517
205,65.636894,0.9670107
206,68.85137,0.945728
207,52.111645,0.8314722
208,57.858917,0.7748434
209,58.742844,0.93198675
210,48.575123,0.96841615
211,51.336605,0.85276276
212,44.72643,0.83727235
213,61.909695,0.84491366
214,52.205437,0.9321274
215,58.786983,0.9264253
216,64.48468,0.9114803
217,63.357094,0.92996496
218,46.577698,0.858708
219,57.525852,0.94732887
220,60.278362,0.919141
221,59.02877,0.9843683
222,40.20967,0.8226103
223,63.029995,0.99224937
224,53.513752,0.93021286
225,43.34064,0.919442
226,50.406834,0.92728734
227,42.458633,0.9280432
228,66.17008,0.9283534
229,54.52278,0.91775095
230,55.587215,0.95819753
231,61.44637,0.9173329
232,53.230347,0.912842
233,41.589535,0.82467407
234,40.887894,0.7960249
235,54.728603,0.92613244
236,58.90831,0.89559466
237,67.34927,0.9703153
238,51.502773,0.8369154
239,44.665752,0.85896975
240,40.417744,0.8726816
241,54.141464,0.8932489
242,63.926216,0.9401974
243,60.731087,0.9400714
244,50.15721,0.9313585
245,56.351017,0.9626727
246,54.41351,0.97491246
247,60.326233,0.916168
248,51.094875,0.8717949
249,35.076492,0.8292682
250,55.31227,0.950808
251,59.705616,0.81476533
252,53.23522,0.9011644
253,34.235558,0.9101652
254,48.5335,0.9157827
255,35.716957,0.8637786
256,43.623768,0.93234193
257,50.694317,0.92108315
258,51.849262,0.90217364
259,39.77666,0.8643488
260,52.676258,0.91950756
261,63.759945,0.9388542
262,39.308605,0.7977166
263,67.68591,0.9481819
264,50.396294,0.8369886
265,57.56533,0.9104884
266,49.958767,0.85496074
267,41.645042,0.8151775
268,64.54885,0.86391443
269,48.068516,0.91946346
270,62.286404,0.9386773
271,57.67434,0.73774415
272,52.29429,0.7873985
273,44.69976,0.840706
274,64.46688,0.8908306
275,54.545094,0.9357016
276,61.615402,0.90575033
277,67.627625,0.87760967
278,66.15374,0.9200458
279,65.66741,0.82637185
280,71.89959,1.0
281,55.323353,0.90300363
282,66.83489,1.0
283,59.231544,0.9086855
284,46.02153,0.93871796
285,57.258232,0.95930123
286,38.074005,0.85610855
287,54.17648,0.80891633
288,57.1859,0.9312667
289,52.19369,0.9223463
290,67.59563,0.8478875
